"시점","성별","연령계층별",취업자 (천명),실업자 (천명),실업률 (%),고용률 (%)
"2020. 01","남자","40 - 49세",3808,79,2.0,90.7
"2020. 01","남자","50 - 59세",3638,110,2.9,85.0
"2020. 01","남자","60세이상",2588,180,6.5,49.3
"2020. 01","여자","계",11476,526,4.4,50.6
"2020. 01","여자","20 - 29세",1912,139,6.8,58.8
"2020. 01","여자","30 - 39세",2161,82,3.6,62.6
"2020. 01","여자","40 - 49세",2647,53,2.0,65.1
"2020. 01","여자","50 - 59세",2735,77,2.7,64.0
"2020. 01","여자","60세이상",1909,163,7.9,29.8
"2020. 02","계","계",26838,1153,4.1,60.0
"2020. 02","계","20 - 29세",3663,362,9.0,56.6
"2020. 02","계","30 - 39세",5501,187,3.3,76.5
"2020. 02","계","40 - 49세",6426,158,2.4,77.8
"2020. 02","계","50 - 59세",6358,191,2.9,74.3
"2020. 02","계","60세이상",4696,235,4.8,40.1
"2020. 02","남자","계",15336,643,4.0,69.7
"2020. 02","남자","20 - 29세",1802,189,9.5,56.0
"2020. 02","남자","30 - 39세",3333,106,3.1,89.1
"2020. 02","남자","40 - 49세",3801,90,2.3,90.6
"2020. 02","남자","50 - 59세",3640,115,3.1,85.0
"2020. 02","남자","60세이상",2677,132,4.7,50.7
"2020. 02","여자","계",11502,509,4.2,50.7
"2020. 02","여자","20 - 29세",1861,174,8.5,57.2
"2020. 02","여자","30 - 39세",2168,81,3.6,62.9
"2020. 02","여자","40 - 49세",2625,68,2.5,64.6
"2020. 02","여자","50 - 59세",2717,76,2.7,63.6
"2020. 02","여자","60세이상",2019,103,4.8,31.4
"2020. 03","계","계",26609,1180,4.2,59.5
"2020. 03","계","20 - 29세",3520,379,9.7,54.5
"2020. 03","계","30 - 39세",5407,184,3.3,75.4
"2020. 03","계","40 - 49세",6376,175,2.7,77.3
"2020. 03","계","50 - 59세",6308,211,3.2,73.7
"2020. 03","계","60세이상",4848,208,4.1,41.2
"2020. 03","남자","계",15282,662,4.2,69.5
