"BLCK_CD(블록_코드)","ADSTRD_CD(행정동_코드)"
"11017","11470530"
"11018","11470530"
"11021","11470530"
"11022","11470530"
"11023","11470530"
"11024","11470530"
"11025","11470530"
"11026","11470530"
"11027","11470530"
"11028","11470530"
"11029","11470530"
"11030","11470530"
"11031","11470530"
"11032","11470530"
"11033","11470530"
"11036","11470530"
"11037","11470530"
"11038","11470530"
"11039","11470530"
"11040","11470530"
"11041","11470530"
"11042","11470530"
"11043","11470530"
"11045","11470530"
"11046","11470530"
"11047","11470530"
"11048","11470530"
"11049","11470530"
"110498","11320680"
"11050","11470530"
"11051","11470530"
"11053","11470530"
"11054","11470530"
"11055","11470530"
"11056","11470530"
"11057","11470530"
"11058","11470530"
"11059","11470530"
"11060","11470530"
"11061","11470530"
"11062","11470530"
"11063","11470530"
"11064","11470530"
"11065","11500540"
"11066","11470530"
"11067","11470530"
"110670","11320680"
"11068","11470530"
"11069","11470530"
"11070","11470530"
"11071","11470510"
"110712","11320680"
"11072","11470530"
"11073","11470530"
"11074","11470530"
"11076","11470540"
"11080","11380600"
"11081","11470540"
"11082","11470540"
"11083","11470540"
"11084","11470540"
"11086","11470540"
"11087","11470540"
"11088","11470540"
"11089","11470540"
"11092","11470540"
"11095","11470540"
"11096","11650530"
"11097","11470540"
"11098","11470540"
"11099","11470540"
"1110","11740560"
"11100","11470540"
"11101","11470540"
"11102","11470540"
"111029","11710631"
"11103","11470540"
"11104","11470540"
"11105","11470540"
"11106","11470540"
"11107","11470540"
"11108","11470540"
"11110","11470540"
"11111","11470540"
"11112","11470540"
"11113","11470540"
"11115","11470540"
"11116","11470540"
"11117","11470540"
"11118","11470540"
"11119","11470540"
"11120","11680740"
"11121","11470540"
"11122","11470540"
"11123","11470540"
"11124","11470600"
"11125","11470540"
"11126","11470540"
"11127","11470540"
"11128","11470540"
"11135","11380530"
"11136","11380530"
"11137","11380600"
"11141","11470540"
"11142","11470540"
"11143","11470540"
"11145","11470540"
"11146","11470540"
"11147","11470540"
"11148","11470540"
"11149","11470540"
"11150","11470540"
"11151","11470540"
"11153","11470540"
"11154","11470540"
"11156","11470540"
"11157","11470540"
"11158","11470540"
"11160","11470600"
"11161","11470600"
"11162","11470600"
"11163","11470600"
"11164","11470600"
"11165","11470600"
"11166","11470600"
"11167","11470600"
"11168","11470600"
"11169","11470600"
"11170","11470600"
"11171","11470600"
"11172","11470600"
"11173","11470600"
"11174","11470600"
"11177","11380625"
"11178","11470600"
"11179","11470600"
"11181","11470600"
"11182","11470600"
"11183","11470600"
"11184","11470600"
"11185","11470600"
"11186","11380530"
"11187","11380530"
"11188","11530750"
"11189","11380530"
"1119","11320670"
"11190","11380530"
"11191","11380530"
"111910","11650651"
"11192","11680740"
"11193","11380600"
"11194","11380530"
"11196","11380600"
"11197","11380530"
"11198","11380530"
"11199","11380530"
"112","11590605"
"11200","11380530"
"11201","11380600"
"11202","11380530"
"11203","11380530"
"11204","11380530"
"11205","11380530"
"11206","11380530"
"11208","11380530"
"11209","11380530"
"11210","11380530"
"11211","11380530"
"11214","11545630"
"11215","11380530"
"11216","11380530"
"11217","11380625"
"11218","11380600"
"11219","11380600"
"11220","11380600"
"112208","11500620"
"11221","11470590"
"11224","11380600"
"11225","11380600"
"11226","11380600"
"11227","11380600"
"112277","11650651"
"11228","11380600"
"112287","11650652"
"11229","11380600"
"11232","11380600"
"11233","11380600"
"11234","11380600"
"112342","11320670"
"11235","11380600"
"112352","11470530"
"11236","11380600"
"112367","11320670"
"11237","11380600"
"112378","11500620"
"11238","11380600"
"112386","11380510"
"11239","11380600"
"11240","11380600"
"11241","11380600"
"11242","11380600"
"11243","11380600"
"11244","11380600"
"11245","11680740"
"11247","11380600"
"11248","11380600"
"11249","11380600"
"11250","11380600"
"11251","11380600"
"11252","11380600"
"11253","11380600"
"11254","11380600"
"11255","11380600"
"11256","11380600"
"11261","11380600"
"11262","11380600"
"11263","11380600"
"11264","11380600"
"11265","11380600"
"11266","11380600"
"11267","11380600"
"11268","11380600"
"11269","11380600"
"11270","11380625"
"11271","11380600"
"11272","11380600"
"11273","11380600"
"11275","11380600"
"11276","11380600"
