,일별,save_scaled_train
479,2019-04-25,[0.6622842]
480,2019-04-26,[0.78215376]
481,2019-04-27,[0.7537395]
482,2019-04-28,[0.38768723]
483,2019-04-29,[0.75584174]
484,2019-04-30,[0.92811843]
485,2019-05-01,[0.66639294]
486,2019-05-02,[0.7164006]
487,2019-05-03,[0.80699317]
488,2019-05-04,[0.72745468]
489,2019-05-05,[0.47483822]
490,2019-05-06,[0.50282173]
491,2019-05-07,[0.67591669]
492,2019-05-08,[0.70630282]
493,2019-05-09,[0.66571809]
494,2019-05-10,[0.75835656]
495,2019-05-11,[0.72733375]
496,2019-05-12,[0.38406845]
497,2019-05-13,[0.63399843]
498,2019-05-14,[0.69468202]
499,2019-05-15,[0.70601541]
500,2019-05-16,[0.68265804]
501,2019-05-17,[0.76754655]
502,2019-05-18,[0.72682086]
503,2019-05-19,[0.37266532]
504,2019-05-20,[0.64213931]
505,2019-05-21,[0.68271608]
506,2019-05-22,[0.68406304]
507,2019-05-23,[0.67850209]
508,2019-05-24,[0.78788996]
509,2019-05-25,[0.75571306]
510,2019-05-26,[0.40264186]
511,2019-05-27,[0.64612602]
512,2019-05-28,[0.76168757]
513,2019-05-29,[0.7350474]
514,2019-05-30,[0.76625056]
515,2019-05-31,[0.92551431]
